Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,0,107.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,117.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,155.3,0,0,0,0,0,0,0,0,0,0,0,0
0,1104.3,0,0,0,458.8,0,0,0,0,0,0,0,0,0,0,0
0,945.2,0,0,0,5083.8,0,0,0,0,0,0,0,0,0,0,0
0,964.5,0,0,0,1032.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,166.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1469,189.3,0,0,0,0,0,0,0,0,0,0,0
0,813.3,0,0,0,1067.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,526.6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,137.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,475.9,1602.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,95.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,497.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,113.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,557.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,191.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,201.2,0,0,0,0,0,0,0,0,0,0,0
0,665.5,0,0,873.6,1765.7,0,0,0,0,0,0,0,0,0,0,0
0,387.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,119.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,103.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,285.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,94.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,232.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,199.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,110.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,110.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,922,108.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,197.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1042,0,0,0,0,0,0,0,0,0,0,0
0,1115.5,498.1,0,0,4566.3,0,0,0,0,0,0,0,0,0,0,0
