Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,0,187.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1470.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,391.8,0,0,0,0,0,0,0,0,0,0,0
0,0,338.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,312.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,105.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,196.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1045.7,0,0,0,0,0,0,0,0,0,0,0
0,313.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,133.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,231.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1135.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,150.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,584.8,270.4,0,0,0,0,0,0,0,0,0,0,0
0,424,0,0,0,289.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,146.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2445.1,0,0,0,0,0,0,0,0,0,0,0
0,3553.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,108.6,0,0,0,0,0,0,0,0,0,0,0
0,308.4,0,0,0,244.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,168.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,273.4,0,0,0,0,0,0,0,0,0,0,0
0,458.2,0,0,0,583.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7633.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,184.3,0,0,0,0,0,0,0,0,0,0,0
0,779.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,794.6,0,0,0,0,0,0,0,0,0,0,0
0,0,630.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1119.6,0,0,0,533.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,126.8,0,0,0,0,0,0,0,0,0,0,0
0,0,583.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,410.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,694.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,131.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,330.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,107.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2595.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,908.3,188.7,0,0,0,0,0,0,0,0,0,0,0
0,574.4,0,0,0,134.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,103.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,168.5,0,0,0,0,0,0,0,0,0,0,0
0,0,219.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,489.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3525.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,151.9,0,0,0,0,0,0,0,0,0,0,0
0,0,468.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,621.8,0,0,0,1325.7,0,0,0,0,0,0,0,0,0,0,0
0,0,594.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,301.9,0,0,0,218.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,135.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,377.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4383,0,0,0,0,0,0,0,19.3,0,0,0
0,0,0,0,0,115.8,0,0,0,0,0,0,0,0,0,0,0
0,310.6,0,0,0,273.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,114.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,992.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1110.1,447.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6114.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,141.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,365.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,697.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0
0,607.3,0,0,0,105.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,266.9,0,0,0,0,0,0,0,0,0,0,0
0,614.6,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0
0,358.2,0,0,0,159.1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,182.8,0,0,0,0,0,0,0,0,0,0,0
0,937.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,40611.8,0,614.9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,668.2,0,0,0,0,0,0,0,0,0,0,0
0,289.9,0,0,139.6,770.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,122.3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,134.5,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,159.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,318.4,0,0,0,0,0,0,0,0,0,0,0
0,590.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,373.1,0,0,0,588.2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,211.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1547.4,374.6,0,0,0,0,0,0,0,0,0,0,0
0,564.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1282.9,743.7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,372.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,128.6,0,0,0,0,0,0,0,0,0,0,0
0,1199.9,0,0,0,630.6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,140.1,0,0,0,0,0,0,0,0,0,0,0
