Mg,Al,Ti,V,Mn,Fe,Co,Zn,Y,Zr,Nb,La,Nd,Ce,Ta,W,Pb
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46800.1,0,175.2,0,65.7,1025.8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,459.3,7934.7,0,0,505.6,0,4255.5,0,0,22.3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,122.4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,212.8,0,0,0,0,0,0,0,0,0,0,0
0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,167.5,0,1277.9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,211.6,0,0,0,0,0,0,131.7,0,0,0,0,0,0,0
2658.6,0,0,0,0,0,0,0,0,105.2,0,0,0,0,0,0,0
0,0,216.3,0,0,0,0,0,0,53,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,51.1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,49.7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,47.9,0,0,0,0,0,0,0
0,0,113.4,0,0,0,0,0,0,45.8,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,40.6,0,0,0,0,0,0,0
0,0,145.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,91.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,228.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,825.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,116.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,204.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,68.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,819.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,477.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1143.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4162.7,0,0,0,0,0,0,0,0,0
0,0,99.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,708.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,610.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,842.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,216.5,0,0,0,0,1282.2,0,0,0,0,0,0,0,0,0
0,0,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,113.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,254.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,877.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
